value,record,element,collection
"A few names listed for the 1935 La Boca Canal Zone Public School:
Lilian Burgess, Fredy Bushnell, Evelyn Chanvas, Dorothy Clarke, Eltyn Clarke, Rose Clarke, Edna Edhill, Doris Forbes, Marcus Granum, Mym Gooden, Enid Hall, Louise Holligan, Doris Hunt, Edna Jordan, George Jordan, Myrtle Mendez, Clara Robinson, Dorothy Small, Ismay Straung.",28,note,dlc
Englisheng,28,language,dlc
Spanishspa,28,language,dlc
PacificoThe Panama Canal: 1935 Graduates of La Boca Public School,28,titleInfo,dlc
AA00015058_00026Derived from the SobekCM databse,27,recordInfo,dlc
Escuela Superior de Paraiso1951,27,originInfo,dlc
1951195119511951,27,relatedItem,dlc
serial,27,genre,dlc
1951195119511951,27,part,dlc
text,27,typeOfResource,dlc
Copyright Board of Trustees of the University of Florida,27,accessCondition,dlc
"A few names listed for the 1935 La Boca Canal Zone Public School:
Lilian Burgess, Fredy Bushnell, Evelyn Chanvas, Dorothy Clarke, Eltyn Clarke, Rose Clarke, Edna Edhill, Doris Forbes, Marcus Granum, Mym Gooden, Enid Hall, Louise Holligan, Doris Hunt, Edna Jordan, George Jordan, Myrtle Mendez, Clara Robinson, Dorothy Small, Ismay Straung.",27,note,dlc
Englisheng,27,language,dlc
PacificoThe Panama Canal: 1951 Graduates of La Boca Public School,27,titleInfo,dlc
AA00015058_00023Derived from the SobekCM databse,26,recordInfo,dlc
Escuela Superior de Paraiso1950,26,originInfo,dlc
1950195019501950,26,relatedItem,dlc
serial,26,genre,dlc
1950195019501950,26,part,dlc
text,26,typeOfResource,dlc
Copyright Board of Trustees of the University of Florida,26,accessCondition,dlc
"A few names listed for the 1935 La Boca Canal Zone Public School:
Lilian Burgess, Fredy Bushnell, Evelyn Chanvas, Dorothy Clarke, Eltyn Clarke, Rose Clarke, Edna Edhill, Doris Forbes, Marcus Granum, Mym Gooden, Enid Hall, Louise Holligan, Doris Hunt, Edna Jordan, George Jordan, Myrtle Mendez, Clara Robinson, Dorothy Small, Ismay Straung.",26,note,dlc
Spanishspa,26,language,dlc
Englisheng,26,language,dlc
PacificoThe Panama Canal: 1935 Graduates of La Boca Public School,26,titleInfo,dlc
AA00015058_00022Derived from the SobekCM databse,25,recordInfo,dlc
Escuela Superior de Paraiso1935,25,originInfo,dlc
19351935Photograph of The Panama Canal Graduates of La Boca Public School219351935Photograph of The Panama Canal Graduates of La Boca Public School2,25,relatedItem,dlc
19351935Photograph of The Panama Canal Graduates of La Boca Public School219351935Photograph of The Panama Canal Graduates of La Boca Public School2,25,part,dlc
still image,25,typeOfResource,dlc
Copyright Board of Trustees of the University of Florida,25,accessCondition,dlc
"A few names listed for the 1935 La Boca Canal Zone Public School:
Lilian Burgess, Fredy Bushnell, Evelyn Chanvas, Dorothy Clarke, Eltyn Clarke, Rose Clarke, Edna Edhill, Doris Forbes, Marcus Granum, Mym Gooden, Enid Hall, Louise Holligan, Doris Hunt, Edna Jordan, George Jordan, Myrtle Mendez, Clara Robinson, Dorothy Small, Ismay Straung.",25,note,dlc
PacificoThe Panama Canal: 1935 Graduates of La Boca Public School,25,titleInfo,dlc
AA00019226_00008University of Virgin Islands,24,recordInfo,dlc
Eastern Caribbean Center2015,24,originInfo,dlc
33 p. : ill. ; 28 cm,24,relatedItem,dlc
Caribbean Perspectives2015201520152015,24,relatedItem,dlc
serial,24,genre,dlc
2015201520152015,24,part,dlc
text,24,typeOfResource,dlc
"This item was contributed to the Digital Library of the Caribbean (dLOC) by the source institution listed in the metadata. This item may or may not be protected by copyright in the country where it was produced. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by applicable law, including any applicable international copyright treaty or fair use or fair dealing statutes, which dLOC partners have explicitly supported and endorsed. Any reuse of this item in excess of applicable copyright exceptions may require permission. dLOC would encourage users to contact the source institution directly or dloc@fiu.edu to request more information about copyright status or to provide additional information about the item.",24,accessCondition,dlc
Caribbean Area,24,subject,dlc
33 p. : ill. ; 28 cm,24,physicalDescription,dlc
Englisheng,24,language,dlc
Caribbean Perspectives,24,titleInfo,dlc
Chatted Slavery in the Caribbean Arguments for and Against Reparations,24,titleInfo,dlc
AA00019226_00007University of Virgin Islands,23,recordInfo,dlc
Eastern Caribbean Center2013,23,originInfo,dlc
35 p. : ill. ; 28 cm,23,relatedItem,dlc
Caribbean Perspectives2013201320132013,23,relatedItem,dlc
serial,23,genre,dlc
2013201320132013,23,part,dlc
text,23,typeOfResource,dlc
"This item was contributed to the Digital Library of the Caribbean (dLOC) by the source institution listed in the metadata. This item may or may not be protected by copyright in the country where it was produced. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by applicable law, including any applicable international copyright treaty or fair use or fair dealing statutes, which dLOC partners have explicitly supported and endorsed. Any reuse of this item in excess of applicable copyright exceptions may require permission. dLOC would encourage users to contact the source institution directly or dloc@fiu.edu to request more information about copyright status or to provide additional information about the item.",23,accessCondition,dlc
Caribbean Area,23,subject,dlc
35 p. : ill. ; 28 cm,23,physicalDescription,dlc
Englisheng,23,language,dlc
Caribbean Perspectives,23,titleInfo,dlc
The First 50 years 1962-2012 The Impact of the University of the Virgin Islands,23,titleInfo,dlc
AA00019226_00002University of Virgin Islands,22,recordInfo,dlc
HF5387.5 .C27 M35 2008,22,identifier,dlc
Eastern Caribbean Center2008-01-XX,22,originInfo,dlc
28 p. : ill. ; 28 cm,22,relatedItem,dlc
Caribbean Perspectives20082008January120082008January1,22,relatedItem,dlc
serial,22,genre,dlc
20082008January120082008January1,22,part,dlc
text,22,typeOfResource,dlc
"This item was contributed to the Digital Library of the Caribbean (dLOC) by the source institution listed in the metadata. This item may or may not be protected by copyright in the country where it was produced. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by applicable law, including any applicable international copyright treaty or fair use or fair dealing statutes, which dLOC partners have explicitly supported and endorsed. Any reuse of this item in excess of applicable copyright exceptions may require permission. dLOC would encourage users to contact the source institution directly or dloc@fiu.edu to request more information about copyright status or to provide additional information about the item.",22,accessCondition,dlc
Caribbean Area,22,subject,dlc
Corruption,22,subject,dlc
Moral and Ethical Aspects,22,subject,dlc
Corrupt Practices,22,subject,dlc
Political Corruption,22,subject,dlc
Corruption,22,subject,dlc
Prevention,22,subject,dlc
28 p. : ill. ; 28 cm,22,physicalDescription,dlc
"Corruption: a United States Virgin Islands perspective / Effects of corruption on the Caribbean economy / What was I thinking?: the pitfalls of political precedents, college life, and ethical assumptions / The faces of business corruption / Kleptocracy and the contemporary Caribbean perspective / A strategy against corruption / Crossword",22,note,dlc
Englisheng,22,language,dlc
Van Beverhoudt,22,name,dlc
Steven Soloman,22,name,dlc
Hossana Guillory,22,name,dlc
"Monique, Esdaille",22,name,dlc
Eustace Sekou,22,name,dlc
Malik Nazario,22,name,dlc
Unknown,22,name,dlc
Caribbean Perspectives,22,titleInfo,dlc
The Many Faces of Corruption,22,titleInfo,dlc
AA00019226_00005University of Virgin Islands,21,recordInfo,dlc
Eastern Caribbean Center2005,21,originInfo,dlc
27 p. : ill. ; 28 cm,21,relatedItem,dlc
Caribbean Perspectives2005200520052005,21,relatedItem,dlc
serial,21,genre,dlc
2005200520052005,21,part,dlc
text,21,typeOfResource,dlc
"This item was contributed to the Digital Library of the Caribbean (dLOC) by the source institution listed in the metadata. This item may or may not be protected by copyright in the country where it was produced. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by applicable law, including any applicable international copyright treaty or fair use or fair dealing statutes, which dLOC partners have explicitly supported and endorsed. Any reuse of this item in excess of applicable copyright exceptions may require permission. dLOC would encourage users to contact the source institution directly or dloc@fiu.edu to request more information about copyright status or to provide additional information about the item.",21,accessCondition,dlc
Caribbean Area,21,subject,dlc
27 p. : ill. ; 28 cm,21,physicalDescription,dlc
Englisheng,21,language,dlc
Caribbean Perspectives,21,titleInfo,dlc
Gaming in the Caribbean,21,titleInfo,dlc
AA00019226_00004University of Virgin Islands,20,recordInfo,dlc
Eastern Caribbean Center2004,20,originInfo,dlc
58 p. : ill. ; 28 cm,20,relatedItem,dlc
Caribbean Perspectives,20,relatedItem,dlc
serial,20,genre,dlc
text,20,typeOfResource,dlc
"This item was contributed to the Digital Library of the Caribbean (dLOC) by the source institution listed in the metadata. This item may or may not be protected by copyright in the country where it was produced. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by applicable law, including any applicable international copyright treaty or fair use or fair dealing statutes, which dLOC partners have explicitly supported and endorsed. Any reuse of this item in excess of applicable copyright exceptions may require permission. dLOC would encourage users to contact the source institution directly or dloc@fiu.edu to request more information about copyright status or to provide additional information about the item.",20,accessCondition,dlc
Caribbean Area,20,subject,dlc
58 p. : ill. ; 28 cm,20,physicalDescription,dlc
Englisheng,20,language,dlc
Caribbean Perspectives,20,titleInfo,dlc
Music Dance and Festivities,20,titleInfo,dlc
AA00019226_00001University of Virgin Islands,19,recordInfo,dlc
LB1028.3 .H54,19,identifier,dlc
"University of the Virgin Islands, Eastern Caribbean Center2001",19,originInfo,dlc
28 p. : ill. ; 28 cm,19,relatedItem,dlc
Caribbean Perspectives,19,relatedItem,dlc
serial,19,genre,dlc
text,19,typeOfResource,dlc
All rights reserved by the source institution.,19,accessCondition,dlc
Education,19,subject,dlc
Higher -- Effect of technological innovations on,19,subject,dlc
Educational technology,19,subject,dlc
Higher Education,19,subject,dlc
Leadership,19,subject,dlc
Study and teaching,19,subject,dlc
Study and teaching -- Caribbean Area,19,subject,dlc
28 p. : ill. ; 28 cm,19,physicalDescription,dlc
Englisheng,19,language,dlc
University of the Virgin Islands. Eastern Caribbean Center,19,name,dlc
Caribbean Perspectives,19,titleInfo,dlc
Higher Education : a Global Perspective,19,titleInfo,dlc
AA00016872_00002University of Florida,18,recordInfo,dlc
Vodou,18,identifier,dlc
"National Endowment for the HumanitiesJune 17, 2014",18,originInfo,dlc
This is the Haitian Creole transcription and English translation of an interview,18,relatedItem,dlc
"This PDF file provides the Haitian Creole transcription and the English translation of Hebblethwaite and Payton's interview of the Vodou priests, Sèvitè Pwofèt and Manbo Marikam, November 1, 2012, at Lakou Soukri Danach in Gonayiv, Haiti. This work was generously funded by the UF-Duke NEH Collaborative Grant.",18,abstract,dlc
moving image,18,typeOfResource,dlc
Applicable rights reserved.,18,accessCondition,dlc
"Caribbean Area, Haitian Vodou, Lakou Soukri Danach, Gonayiv",18,subject,dlc
This is the Haitian Creole transcription and English translation of an interview,18,physicalDescription,dlc
Haitian Creolehat,18,language,dlc
Englisheng,18,language,dlc
"Benjamin Hebblethwaite, Claire Payton, Tahiri Jean-Baptiste and Rose Laure Jean-Joseph",18,name,dlc
Interview at Lakou Soukri Summary,18,titleInfo,dlc
AA00016872_00001University of Florida,17,recordInfo,dlc
Vodou,17,identifier,dlc
National Endowment for the Humanities9/5/2013,17,originInfo,dlc
This is the Haitian Creole transcription and English translation of an interview,17,relatedItem,dlc
"This PDF file provides the Haitian Creole transcription and the English translation of Hebblethwaite and Payton's interview of the Vodou priests, Sèvitè Pwofèt and Manbo Marikam, November 1, 2012, at Lakou Soukri Danach in Gonayiv, Haiti. This work was generously funded by the UF-Duke NEH Collaborative Grant.",17,abstract,dlc
moving image,17,typeOfResource,dlc
Applicable rights reserved.,17,accessCondition,dlc
"Caribbean Area, Haitian Vodou, Lakou Soukri Danach, Gonayiv",17,subject,dlc
This is the Haitian Creole transcription and English translation of an interview,17,physicalDescription,dlc
Haitian Creolehat,17,language,dlc
Englisheng,17,language,dlc
"Benjamin Hebblethwaite, Claire Payton, Tahiri Jean-Baptiste and Rose Laure Jean-Joseph",17,name,dlc
"Interview with Sèvitè Pwofèt and Manbo Marikam by Hebblethwaite and Payton, November 1, 2012, at Lakou Soukri Danach in Gonayiv, Haiti",17,titleInfo,dlc
AA00065169_00002110714Imported from (OCLC)976416546Biblioteca Nacional José MartíHMMengOCLCOOCLCFOCLCQFUGSpanishsparda,16,recordInfo,dlc
976416546,16,identifier,dlc
036580106,16,identifier,dlc
"Publisher not identifiedcuMarzo 30, 188418831896Ano I., Num.67, 30 de Marzo de 1884Weekly[<1885>-]Biweekly[ FORMER -<1884>]",16,originInfo,dlc
1 online resource (volumes) :  ;,16,relatedItem,dlc
"18841884Marzo330 de Marzo de 18846718841884Marzo3Ano I., Num. 67, 30 de Marzo de 188467",16,relatedItem,dlc
periodical,16,genre,dlc
Revistas,16,genre,dlc
Periodicals,16,genre,dlc
"18841884Marzo330 de Marzo de 18846718841884Marzo3Ano I., Num. 67, 30 de Marzo de 188467",16,part,dlc
text,16,typeOfResource,dlc
"This item was contributed to the Digital Library of the Caribbean (dLOC) by the source institution listed in the metadata. This item may or may not be protected by copyright in the country where it was produced. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by applicable law, including any applicable international copyright treaty or fair use or fair dealing statutes, which dLOC partners have explicitly supported and endorsed. Any reuse of this item in excess of applicable copyright exceptions may require permission. dLOC would encourage users to contact the source institution directly or dloc@fiu.edu to request more information about copyright status or to provide additional information about the item.",16,accessCondition,dlc
Cuban literaturePeriodicals,16,subject,dlc
Cuban literature,16,subject,dlc
Literatura cubana,16,subject,dlc
1 online resource (volumes) :  ;,16,physicalDescription,dlc
Began in 1883; ceased in 1896.,16,note,dlc
"""Periodico bisemanal, de noticias interesantes al bello sexo"", later ""Semanario de literatura, bellas artes y moda. Dedicado al bello sexo.""",16,note,dlc
"From <Apr. 15, 1885> ""Organo oficial del 'Circulo habanero'.""",16,note,dlc
Publication suspended in 1892. Resumed in 1893.,16,note,dlc
"Description based on: Año 1, no. 61 (9 de marzo de 1884); title from caption.",16,note,dlc
"Latest issue consulted: Año 9, no. 13 (2 abr. 1893).",16,note,dlc
Spanishspa,16,language,dlc
La Habana elegante,16,titleInfo,dlc
"Habana elegante (Havana, Cuba)",16,titleInfo,dlc
AA00065169_00001110714Imported from (OCLC)976416546Biblioteca Nacional José MartíHMMengOCLCOOCLCFOCLCQFUGSpanishsparda,15,recordInfo,dlc
976416546,15,identifier,dlc
036580106,15,identifier,dlc
"Publisher not identifiedcuMarzo 9, 188418831896Ano I., Num. 66, 9 de Marzo de 1884Weekly[<1885>-]Biweekly[ FORMER -<1884>]",15,originInfo,dlc
1 online resource (volumes) :  ;,15,relatedItem,dlc
"18841884Marzo39 de Marzo de 18846618841884Marzo3Ano I., Num. 66, 9 de Marzo de 188466",15,relatedItem,dlc
periodical,15,genre,dlc
Revistas,15,genre,dlc
Periodicals,15,genre,dlc
"18841884Marzo39 de Marzo de 18846618841884Marzo3Ano I., Num. 66, 9 de Marzo de 188466",15,part,dlc
text,15,typeOfResource,dlc
"This item was contributed to the Digital Library of the Caribbean (dLOC) by the source institution listed in the metadata. This item may or may not be protected by copyright in the country where it was produced. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by applicable law, including any applicable international copyright treaty or fair use or fair dealing statutes, which dLOC partners have explicitly supported and endorsed. Any reuse of this item in excess of applicable copyright exceptions may require permission. dLOC would encourage users to contact the source institution directly or dloc@fiu.edu to request more information about copyright status or to provide additional information about the item.",15,accessCondition,dlc
Cuban literaturePeriodicals,15,subject,dlc
Cuban literature,15,subject,dlc
Literatura cubana,15,subject,dlc
1 online resource (volumes) :  ;,15,physicalDescription,dlc
Began in 1883; ceased in 1896.,15,note,dlc
"""Periodico bisemanal, de noticias interesantes al bello sexo"", later ""Semanario de literatura, bellas artes y moda. Dedicado al bello sexo.""",15,note,dlc
"From <Apr. 15, 1885> ""Organo oficial del 'Circulo habanero'.""",15,note,dlc
Publication suspended in 1892. Resumed in 1893.,15,note,dlc
"Description based on: Año 1, no. 61 (9 de marzo de 1884); title from caption.",15,note,dlc
"Latest issue consulted: Año 9, no. 13 (2 abr. 1893).",15,note,dlc
Spanishspa,15,language,dlc
La Habana elegante,15,titleInfo,dlc
"Habana elegante (Havana, Cuba)",15,titleInfo,dlc
AA00065169_00061110714Imported from (OCLC)976416546Biblioteca Nacional José MartíHMMengOCLCOOCLCFOCLCQFUGSpanishsparda,14,recordInfo,dlc
976416546,14,identifier,dlc
036580106,14,identifier,dlc
Publisher not identifiedcudate of publication not identified18831896Numero-Almanaque para el de Ano de 1886Weekly[<1885>-]Biweekly[ FORMER -<1884>],14,originInfo,dlc
1 online resource (volumes) :  ;,14,relatedItem,dlc
R.E. Maz- El Duelo de Mi Vecino1Biblioteca de La Habana Elegante2,14,relatedItem,dlc
periodical,14,genre,dlc
Revistas,14,genre,dlc
Periodicals,14,genre,dlc
R.E. Maz- El Duelo de Mi Vecino1Biblioteca de La Habana Elegante2,14,part,dlc
text,14,typeOfResource,dlc
"This item was contributed to the Digital Library of the Caribbean (dLOC) by the source institution listed in the metadata. This item may or may not be protected by copyright in the country where it was produced. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by applicable law, including any applicable international copyright treaty or fair use or fair dealing statutes, which dLOC partners have explicitly supported and endorsed. Any reuse of this item in excess of applicable copyright exceptions may require permission. dLOC would encourage users to contact the source institution directly or dloc@fiu.edu to request more information about copyright status or to provide additional information about the item.",14,accessCondition,dlc
Cuban literaturePeriodicals,14,subject,dlc
Cuban literature,14,subject,dlc
Literatura cubana,14,subject,dlc
1 online resource (volumes) :  ;,14,physicalDescription,dlc
Began in 1883; ceased in 1896.,14,note,dlc
"""Periodico bisemanal, de noticias interesantes al bello sexo"", later ""Semanario de literatura, bellas artes y moda. Dedicado al bello sexo.""",14,note,dlc
"From <Apr. 15, 1885> ""Organo oficial del 'Circulo habanero'.""",14,note,dlc
Publication suspended in 1892. Resumed in 1893.,14,note,dlc
"Description based on: Año 1, no. 61 (9 de marzo de 1884); title from caption.",14,note,dlc
"Latest issue consulted: Año 9, no. 13 (2 abr. 1893).",14,note,dlc
Spanishspa,14,language,dlc
La Habana elegante,14,titleInfo,dlc
"Habana elegante (Havana, Cuba)",14,titleInfo,dlc
AA00062911_00007180516Imported from (NOTIS)on10357Bibliothèque Haïtienne des Frères de l'Instruction ChrètienneFUGengFrenchfrerda|pn,13,recordInfo,dlc
on10357,13,identifier,dlc
1035767049,13,identifier,dlc
2018227480,13,identifier,dlc
on1035767049,13,identifier,dlc
30558050,13,identifier,dlc
94021837,13,identifier,dlc
"Imprimerie Vve J Chenetht05-08-189718971897Weekly (""parassant le samedi"")weeklyregular",13,originInfo,dlc
1 online resource :  ;,13,relatedItem,dlc
18971897May58818971897May588,13,relatedItem,dlc
"3055805094021837http://ufdc.ufl.edu/l/AA00062912Drapeau (Port-au-Prince, Haiti)",13,relatedItem,dlc
newspaper,13,genre,dlc
newspaper,13,genre,dlc
Newspapers,13,genre,dlc
18971897May58818971897May588,13,part,dlc
AN 111.P67 A23,13,classification,dlc
text,13,typeOfResource,dlc
"This item was contributed to the Digital Library of the Caribbean (dLOC) by the source institution listed in the metadata. This item may or may not be protected by copyright in the country where it was produced. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by applicable law, including any applicable international copyright treaty or fair use or fair dealing statutes, which dLOC partners have explicitly supported and endorsed. Any reuse of this item in excess of applicable copyright exceptions may require permission. dLOC would encourage users to contact the source institution directly or dloc@fiu.edu to request more information about copyright status or to provide additional information about the item.",13,accessCondition,dlc
HaitiPort-au-Prince,13,subject,dlc
Port-au-Prince (Haiti)Newspapers,13,subject,dlc
1 online resource :  ;,13,physicalDescription,dlc
Ceased with: 1ére. Année. No 18 (31 juillet 1897),13,note,dlc
Frenchfre,13,language,dlc
"Drapeau (Port-au-Prince, Haiti)",13,titleInfo,dlc
L'ABC,13,titleInfo,dlc
AA00062911_00006180516Imported from (NOTIS)on10357Bibliothèque Haïtienne des Frères de l'Instruction ChrètienneFUGengFrenchfrerda|pn,12,recordInfo,dlc
on10357,12,identifier,dlc
1035767049,12,identifier,dlc
2018227480,12,identifier,dlc
on1035767049,12,identifier,dlc
30558050,12,identifier,dlc
94021837,12,identifier,dlc
"Imprimerie Vve J Chenetht05-01-189718971897Weekly (""parassant le samedi"")weeklyregular",12,originInfo,dlc
1 online resource :  ;,12,relatedItem,dlc
18971897May51118971897May511,12,relatedItem,dlc
"3055805094021837http://ufdc.ufl.edu/l/AA00062912Drapeau (Port-au-Prince, Haiti)",12,relatedItem,dlc
newspaper,12,genre,dlc
newspaper,12,genre,dlc
Newspapers,12,genre,dlc
18971897May51118971897May511,12,part,dlc
AN 111.P67 A23,12,classification,dlc
text,12,typeOfResource,dlc
"This item was contributed to the Digital Library of the Caribbean (dLOC) by the source institution listed in the metadata. This item may or may not be protected by copyright in the country where it was produced. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by applicable law, including any applicable international copyright treaty or fair use or fair dealing statutes, which dLOC partners have explicitly supported and endorsed. Any reuse of this item in excess of applicable copyright exceptions may require permission. dLOC would encourage users to contact the source institution directly or dloc@fiu.edu to request more information about copyright status or to provide additional information about the item.",12,accessCondition,dlc
HaitiPort-au-Prince,12,subject,dlc
Port-au-Prince (Haiti)Newspapers,12,subject,dlc
1 online resource :  ;,12,physicalDescription,dlc
Ceased with: 1ére. Année. No 18 (31 juillet 1897),12,note,dlc
Frenchfre,12,language,dlc
"Drapeau (Port-au-Prince, Haiti)",12,titleInfo,dlc
L'ABC,12,titleInfo,dlc
